Ano;Mês;Distrito;Concelho;Freguesia;Tipo de Lâmpada;Luminárias;Lâmpadas por Luminária;Lâmpadas;Potência Instalada Total (W);CodDistrito;CodDistritoConcelho;coddistritoconcelhofreguesia
2026;5;Viana do Castelo;Valença;Cerdal;Outros/Não definido;21.0;21.0;21.0;585.0;16;1608;160803
2026;5;Viana do Castelo;Valença;Friestas;LED;328.0;328.0;328.0;13537.0;16;1608;160806
2026;5;Viana do Castelo;Valença;Friestas;Sódio;14.0;14.0;14.0;1120.0;16;1608;160806
2026;5;Viana do Castelo;Valença;Verdoejo;Mercúrio;3.0;3.0;3.0;150.0;16;1608;160816
2026;5;Viana do Castelo;Valença;Verdoejo;Sódio;11.0;11.0;11.0;800.0;16;1608;160816
2026;5;Viana do Castelo;Valença;Gondomil e Sanfins;LED;365.0;365.0;365.0;12123.400001525879;16;1608;160818
2026;5;Viana do Castelo;Valença;Gondomil e Sanfins;Outros/Não definido;9.0;9.0;9.0;315.0;16;1608;160818
2026;5;Viana do Castelo;Valença;São Julião e Silva;Fluorescente;1.0;1.0;1.0;50.0;16;1608;160819
2026;5;Viana do Castelo;Viana do Castelo;Afife;Sódio;97.0;89.0;97.0;7490.0;16;1609;160901
2026;5;Viana do Castelo;Viana do Castelo;Alvarães;Outros/Não definido;13.0;13.0;13.0;;16;1609;160902
2026;5;Viana do Castelo;Viana do Castelo;Alvarães;Sódio;102.0;100.0;102.0;10290.0;16;1609;160902
2026;5;Viana do Castelo;Viana do Castelo;Areosa;LED;1018.0;1015.0;1018.0;39681.59997558594;16;1609;160905
2026;5;Viana do Castelo;Viana do Castelo;Areosa;Outros/Não definido;36.0;36.0;36.0;;16;1609;160905
2026;5;Viana do Castelo;Viana do Castelo;Carreço;Outros/Não definido;2.0;2.0;2.0;90.0;16;1609;160908
2026;5;Viana do Castelo;Viana do Castelo;Freixieiro de Soutelo;Sódio;30.0;30.0;30.0;2100.0;16;1609;160914
2026;5;Viana do Castelo;Viana do Castelo;Lanheses;Outros/Não definido;7.0;7.0;7.0;;16;1609;160915
2026;5;Viana do Castelo;Viana do Castelo;Lanheses;Sódio;282.0;228.0;282.0;25200.0;16;1609;160915
2026;5;Viana do Castelo;Viana do Castelo;Montaria;LED;399.0;399.0;399.0;12799.0;16;1609;160920
2026;5;Viana do Castelo;Viana do Castelo;Mujães;LED;518.0;514.0;518.0;17622.0;16;1609;160922
2026;5;Viana do Castelo;Viana do Castelo;Mujães;Mercúrio;2.0;2.0;2.0;100.0;16;1609;160922
2026;5;Viana do Castelo;Viana do Castelo;Mujães;Outros/Não definido;19.0;19.0;19.0;495.0;16;1609;160922
2026;5;Viana do Castelo;Viana do Castelo;Mujães;Sódio;101.0;101.0;101.0;7260.0;16;1609;160922
2026;5;Viana do Castelo;Viana do Castelo;Outeiro;LED;492.0;492.0;492.0;16180.500053405762;16;1609;160925
2026;5;Viana do Castelo;Viana do Castelo;Vila Franca;LED;592.0;592.0;592.0;25126.700241088867;16;1609;160935
2026;5;Viana do Castelo;Viana do Castelo;Chafé;Mercúrio;11.0;11.0;11.0;550.0;16;1609;160940
2026;5;Viana do Castelo;Viana do Castelo;Chafé;Sódio;668.0;611.0;668.0;58530.0;16;1609;160940
2026;5;Viana do Castelo;Viana do Castelo;Barroselas e Carvoeiro;LED;1253.0;1243.0;1253.0;52719.40000152588;16;1609;160941
2026;5;Viana do Castelo;Viana do Castelo;Barroselas e Carvoeiro;Mercúrio;33.0;33.0;33.0;1850.0;16;1609;160941
2026;5;Viana do Castelo;Viana do Castelo;Barroselas e Carvoeiro;Outros/Não definido;38.0;38.0;38.0;315.0;16;1609;160941
2026;5;Viana do Castelo;Viana do Castelo;Cardielos e Serreleis;Sódio;187.0;184.0;187.0;12910.0;16;1609;160942
2026;5;Viana do Castelo;Viana do Castelo;Nogueira, Meixedo e Vilar de Murteda;LED;999.0;999.0;999.0;35234.1001663208;16;1609;160945
2026;5;Viana do Castelo;Viana do Castelo;Nogueira, Meixedo e Vilar de Murteda;Mercúrio;2.0;2.0;2.0;100.0;16;1609;160945
2026;5;Viana do Castelo;Viana do Castelo;Nogueira, Meixedo e Vilar de Murteda;Outros/Não definido;11.0;11.0;11.0;;16;1609;160945
2026;5;Viana do Castelo;Viana do Castelo;Subportela, Deocriste e Portela Susã;Outros/Não definido;2.0;2.0;2.0;;16;1609;160946
2026;5;Viana do Castelo;Viana do Castelo;Torre e Vila Mou;Outros/Não definido;3.0;3.0;3.0;;16;1609;160947
2026;5;Viana do Castelo;Vila Nova de Cerveira;Covas;LED;592.0;590.0;592.0;20548.40000152588;16;1610;161004
2026;5;Viana do Castelo;Vila Nova de Cerveira;Covas;Outros/Não definido;25.0;25.0;25.0;123.0;16;1610;161004
2026;5;Viana do Castelo;Vila Nova de Cerveira;Gondarém;Outros/Não definido;2.0;2.0;2.0;45.0;16;1610;161006
2026;5;Viana do Castelo;Vila Nova de Cerveira;Loivo;Sódio;26.0;26.0;26.0;2000.0;16;1610;161007
2026;5;Viana do Castelo;Vila Nova de Cerveira;Sapardos;Sódio;56.0;56.0;56.0;3920.0;16;1610;161012
2026;5;Viana do Castelo;Vila Nova de Cerveira;Sopo;Mercúrio;3.0;3.0;3.0;210.0;16;1610;161013
2026;5;Viana do Castelo;Vila Nova de Cerveira;Sopo;Outros/Não definido;2.0;2.0;2.0;45.0;16;1610;161013
